local_datetime,settlementPeriod,imbalanceQuantityMAW
2020-01-07 00:30:00+00:00,2,-191.7836
2020-01-07 01:00:00+00:00,3,-89.1204
2020-01-07 01:30:00+00:00,4,-341.9401
2020-01-07 02:00:00+00:00,5,-273.0083
2020-01-07 02:30:00+00:00,6,-573.6002
2020-01-07 03:00:00+00:00,7,-539.9994
2020-01-07 03:30:00+00:00,8,-889.0138
2020-01-07 04:00:00+00:00,9,-539.6768
2020-01-07 04:30:00+00:00,10,-632.1023
2020-01-07 05:00:00+00:00,11,-424.2784
2020-01-07 05:30:00+00:00,12,-387.2184
2020-01-07 06:00:00+00:00,13,-222.6523
2020-01-07 06:30:00+00:00,14,-364.4772
2020-01-07 07:00:00+00:00,15,292.9772
2020-01-07 07:30:00+00:00,16,516.7731
2020-01-07 08:00:00+00:00,17,684.0107
2020-01-07 08:30:00+00:00,18,287.0674
2020-01-07 09:00:00+00:00,19,160.4015
2020-01-07 09:30:00+00:00,20,25.295
2020-01-07 10:00:00+00:00,21,399.2749
2020-01-07 10:30:00+00:00,22,305.1738
2020-01-07 11:00:00+00:00,23,395.246
2020-01-07 11:30:00+00:00,24,485.5586
2020-01-07 12:00:00+00:00,25,438.7097
2020-01-07 12:30:00+00:00,26,322.7069
2020-01-07 13:00:00+00:00,27,294.7737
2020-01-07 13:30:00+00:00,28,177.5046
2020-01-07 14:00:00+00:00,29,-42.1958
2020-01-07 14:30:00+00:00,30,-42.2456
2020-01-07 15:00:00+00:00,31,-278.2643
2020-01-07 15:30:00+00:00,32,17.4449
2020-01-07 16:00:00+00:00,33,313.1811
2020-01-07 16:30:00+00:00,34,629.3548
2020-01-07 17:00:00+00:00,35,443.8971
2020-01-07 17:30:00+00:00,36,145.4336
2020-01-07 18:00:00+00:00,37,-98.2481
2020-01-07 18:30:00+00:00,38,330.2298
2020-01-07 19:00:00+00:00,39,445.6164
2020-01-07 19:30:00+00:00,40,407.8261
2020-01-07 20:00:00+00:00,41,319.6154
2020-01-07 20:30:00+00:00,42,-39.1163
2020-01-07 21:00:00+00:00,43,-184.143
2020-01-07 21:30:00+00:00,44,-378.7691
2020-01-07 22:00:00+00:00,45,-302.6753
2020-01-07 22:30:00+00:00,46,-588.4408
2020-01-07 23:00:00+00:00,47,39.8567
2020-01-07 23:30:00+00:00,48,-263.2754
2020-01-08 00:00:00+00:00,1,-246.9337
2020-01-08 00:30:00+00:00,2,-150.6762
2020-01-08 01:00:00+00:00,3,-7.6336
2020-01-08 01:30:00+00:00,4,-42.7278
2020-01-08 02:00:00+00:00,5,-189.5499
2020-01-08 02:30:00+00:00,6,-215.2998
2020-01-08 03:00:00+00:00,7,-176.2835
2020-01-08 03:30:00+00:00,8,-196.784
2020-01-08 04:00:00+00:00,9,136.1857
2020-01-08 04:30:00+00:00,10,335.7888
2020-01-08 05:00:00+00:00,11,-113.0038
2020-01-08 05:30:00+00:00,12,76.4234
2020-01-08 06:00:00+00:00,13,191.8965
2020-01-08 06:30:00+00:00,14,-118.2526
2020-01-08 07:00:00+00:00,15,286.5024
2020-01-08 07:30:00+00:00,16,157.3162
2020-01-08 08:00:00+00:00,17,357.5396
2020-01-08 08:30:00+00:00,18,270.7969
2020-01-08 09:00:00+00:00,19,233.8195
2020-01-08 09:30:00+00:00,20,318.6666
2020-01-08 10:00:00+00:00,21,168.1134
2020-01-08 10:30:00+00:00,22,-12.0387
2020-01-08 11:00:00+00:00,23,-217.9626
2020-01-08 11:30:00+00:00,24,-366.8484
2020-01-08 12:00:00+00:00,25,41.8794
2020-01-08 12:30:00+00:00,26,220.6599
2020-01-08 13:00:00+00:00,27,73.4511
2020-01-08 13:30:00+00:00,28,-18.1923
2020-01-08 14:00:00+00:00,29,-329.3171
2020-01-08 14:30:00+00:00,30,178.0433
2020-01-08 15:00:00+00:00,31,66.1509
2020-01-08 15:30:00+00:00,32,109.8225
2020-01-08 16:00:00+00:00,33,-33.4361
2020-01-08 16:30:00+00:00,34,145.7936
2020-01-08 17:00:00+00:00,35,-247.6573
2020-01-08 17:30:00+00:00,36,-137.0439
2020-01-08 18:00:00+00:00,37,-48.7621
2020-01-08 18:30:00+00:00,38,142.9924
2020-01-08 19:00:00+00:00,39,652.151
2020-01-08 19:30:00+00:00,40,634.167
2020-01-08 20:00:00+00:00,41,207.327
2020-01-08 20:30:00+00:00,42,-154.4526
2020-01-08 21:00:00+00:00,43,-33.0572
2020-01-08 21:30:00+00:00,44,5.226
2020-01-08 22:00:00+00:00,45,-292.2205
2020-01-08 22:30:00+00:00,46,-291.8377
2020-01-08 23:00:00+00:00,47,-135.8989
2020-01-08 23:30:00+00:00,48,20.383
2020-01-09 00:00:00+00:00,1,-95.9922
2020-01-09 00:30:00+00:00,2,-389.1864
2020-01-09 01:00:00+00:00,3,-806.3417
2020-01-09 01:30:00+00:00,4,-1213.5844
2020-01-09 02:00:00+00:00,5,-349.2139
2020-01-09 02:30:00+00:00,6,-465.933
2020-01-09 03:00:00+00:00,7,-170.5126
2020-01-09 03:30:00+00:00,8,-171.3992
2020-01-09 04:00:00+00:00,9,-80.7235
2020-01-09 04:30:00+00:00,10,-86.8831
2020-01-09 05:00:00+00:00,11,389.5839
2020-01-09 05:30:00+00:00,12,529.48
2020-01-09 06:00:00+00:00,13,75.3276
2020-01-09 06:30:00+00:00,14,-174.9036
2020-01-09 07:00:00+00:00,15,-1084.0405
2020-01-09 07:30:00+00:00,16,-503.0895
2020-01-09 08:00:00+00:00,17,-99.1482
2020-01-09 08:30:00+00:00,18,-261.307
2020-01-09 09:00:00+00:00,19,-552.3822
2020-01-09 09:30:00+00:00,20,-613.2101
2020-01-09 10:00:00+00:00,21,-545.9504
2020-01-09 10:30:00+00:00,22,-313.9784
2020-01-09 11:00:00+00:00,23,-284.4052
2020-01-09 11:30:00+00:00,24,-177.5101
2020-01-09 12:00:00+00:00,25,-12.1187
2020-01-09 12:30:00+00:00,26,138.7769
2020-01-09 13:00:00+00:00,27,-161.0694
2020-01-09 13:30:00+00:00,28,103.5891
2020-01-09 14:00:00+00:00,29,487.085
2020-01-09 14:30:00+00:00,30,464.0123
2020-01-09 15:00:00+00:00,31,415.0442
2020-01-09 15:30:00+00:00,32,278.4116
2020-01-09 16:00:00+00:00,33,-92.3625
2020-01-09 16:30:00+00:00,34,-1.3348
2020-01-09 17:00:00+00:00,35,-275.2086
2020-01-09 17:30:00+00:00,36,-66.2323
2020-01-09 18:00:00+00:00,37,-82.1382
2020-01-09 18:30:00+00:00,38,334.2293
2020-01-09 19:00:00+00:00,39,318.1509
2020-01-09 19:30:00+00:00,40,233.6669
2020-01-09 20:00:00+00:00,41,216.8388
2020-01-09 20:30:00+00:00,42,156.1376
2020-01-09 21:00:00+00:00,43,-336.8326
2020-01-09 21:30:00+00:00,44,18.9186
2020-01-09 22:00:00+00:00,45,269.114
2020-01-09 22:30:00+00:00,46,-113.668
2020-01-09 23:00:00+00:00,47,16.6069
2020-01-09 23:30:00+00:00,48,236.1584
2020-01-10 00:00:00+00:00,1,150.0372
2020-01-10 00:30:00+00:00,2,274.1965
2020-01-10 01:00:00+00:00,3,284.6883
2020-01-10 01:30:00+00:00,4,131.0532
2020-01-10 02:00:00+00:00,5,-247.9877
2020-01-10 02:30:00+00:00,6,-375.0332
2020-01-10 03:00:00+00:00,7,-376.2179
2020-01-10 03:30:00+00:00,8,-328.1745
2020-01-10 04:00:00+00:00,9,55.9599
2020-01-10 04:30:00+00:00,10,-23.4277
2020-01-10 05:00:00+00:00,11,-332.9743
2020-01-10 05:30:00+00:00,12,-381.2816
2020-01-10 06:00:00+00:00,13,-82.3255
2020-01-10 06:30:00+00:00,14,77.3687
2020-01-10 07:00:00+00:00,15,13.1169
2020-01-10 07:30:00+00:00,16,601.8084
2020-01-10 08:00:00+00:00,17,848.6057
2020-01-10 08:30:00+00:00,18,888.3543
2020-01-10 09:00:00+00:00,19,817.7016
2020-01-10 09:30:00+00:00,20,776.1563
2020-01-10 10:00:00+00:00,21,752.4756
2020-01-10 10:30:00+00:00,22,474.0585
2020-01-10 11:00:00+00:00,23,82.6094
2020-01-10 11:30:00+00:00,24,24.1632
2020-01-10 12:00:00+00:00,25,65.2438
2020-01-10 12:30:00+00:00,26,53.633
2020-01-10 13:00:00+00:00,27,-142.3031
2020-01-10 13:30:00+00:00,28,-388.1201
2020-01-10 14:00:00+00:00,29,-233.7114
2020-01-10 14:30:00+00:00,30,-98.5799
2020-01-10 15:00:00+00:00,31,31.7001
2020-01-10 15:30:00+00:00,32,51.4777
2020-01-10 16:00:00+00:00,33,418.2587
2020-01-10 16:30:00+00:00,34,661.0333
2020-01-10 17:00:00+00:00,35,461.0083
2020-01-10 17:30:00+00:00,36,233.3461
2020-01-10 18:00:00+00:00,37,428.665
2020-01-10 18:30:00+00:00,38,11.656
2020-01-10 19:00:00+00:00,39,-149.7262
2020-01-10 19:30:00+00:00,40,-275.5122
2020-01-10 20:00:00+00:00,41,243.5081
2020-01-10 20:30:00+00:00,42,427.6111
2020-01-10 21:00:00+00:00,43,121.1127
2020-01-10 21:30:00+00:00,44,14.5049
2020-01-10 22:00:00+00:00,45,469.6357
2020-01-10 22:30:00+00:00,46,279.3007
2020-01-10 23:00:00+00:00,47,26.8138
2020-01-10 23:30:00+00:00,48,58.1496
2020-01-11 00:00:00+00:00,1,247.4171
2020-01-11 00:30:00+00:00,2,246.1739
2020-01-11 01:00:00+00:00,3,805.589
2020-01-11 01:30:00+00:00,4,196.137
2020-01-11 02:00:00+00:00,5,341.6754
2020-01-11 02:30:00+00:00,6,180.0102
2020-01-11 03:00:00+00:00,7,365.8744
2020-01-11 03:30:00+00:00,8,198.3454
2020-01-11 04:00:00+00:00,9,493.8686
2020-01-11 04:30:00+00:00,10,318.2081
2020-01-11 05:00:00+00:00,11,228.9747
2020-01-11 05:30:00+00:00,12,200.8126
2020-01-11 06:00:00+00:00,13,306.2092
2020-01-11 06:30:00+00:00,14,572.9743
2020-01-11 07:00:00+00:00,15,215.2818
2020-01-11 07:30:00+00:00,16,336.5135
2020-01-11 08:00:00+00:00,17,-513.7252
2020-01-11 08:30:00+00:00,18,51.3189
2020-01-11 09:00:00+00:00,19,186.3529
2020-01-11 09:30:00+00:00,20,496.4355
2020-01-11 10:00:00+00:00,21,293.3338
2020-01-11 10:30:00+00:00,22,383.8379
2020-01-11 11:00:00+00:00,23,294.9177
2020-01-11 11:30:00+00:00,24,651.7584
2020-01-11 12:00:00+00:00,25,754.1444
2020-01-11 12:30:00+00:00,26,1015.1093
2020-01-11 13:00:00+00:00,27,693.9762
2020-01-11 13:30:00+00:00,28,523.9861
2020-01-11 14:00:00+00:00,29,323.9474
2020-01-11 14:30:00+00:00,30,151.5834
2020-01-11 15:00:00+00:00,31,-227.2647
2020-01-11 15:30:00+00:00,32,-132.0776
2020-01-11 16:00:00+00:00,33,-177.0955
2020-01-11 16:30:00+00:00,34,126.4091
2020-01-11 17:00:00+00:00,35,-102.0311
2020-01-11 17:30:00+00:00,36,-7.3287
2020-01-11 18:00:00+00:00,37,-62.9558
2020-01-11 18:30:00+00:00,38,-261.7065
2020-01-11 19:00:00+00:00,39,-389.559
2020-01-11 19:30:00+00:00,40,-592.2452
2020-01-11 20:00:00+00:00,41,-486.2952
2020-01-11 20:30:00+00:00,42,-250.8915
2020-01-11 21:00:00+00:00,43,-357.8026
2020-01-11 21:30:00+00:00,44,-292.6147
2020-01-11 22:00:00+00:00,45,-226.8828
2020-01-11 22:30:00+00:00,46,-445.5983
2020-01-11 23:00:00+00:00,47,-198.1195
2020-01-11 23:30:00+00:00,48,252.3428
2020-01-12 00:00:00+00:00,1,348.4331
2020-01-12 00:30:00+00:00,2,538.3719
2020-01-12 01:00:00+00:00,3,613.2398
2020-01-12 01:30:00+00:00,4,487.2116
2020-01-12 02:00:00+00:00,5,617.9266
2020-01-12 02:30:00+00:00,6,411.2336
2020-01-12 03:00:00+00:00,7,311.3393
2020-01-12 03:30:00+00:00,8,259.8333
2020-01-12 04:00:00+00:00,9,396.5334
2020-01-12 04:30:00+00:00,10,419.2334
2020-01-12 05:00:00+00:00,11,247.2336
2020-01-12 05:30:00+00:00,12,100.1854
2020-01-12 06:00:00+00:00,13,314.5037
